1409.5  958. 
   834.   974.5
   248.   984.5
  1263.   847. 
  1664.   835. 
   854.   860.5
   426.   869. 
  1188.   790.5
  1501.5  782. 
   858.5  800.5
   532.   805. 
   198.5  810. 
  1138.   754. 
  1393.   746. 
  1648.5  741. 
   866.   761.5
   601.   764. 
   336.   767.5
    64.   771.5
  1094.   727.5
  1315.   722.5
  1535.5  718. 
   866.   733. 
   641.   736. 
   418.   736.5
   191.   740.5
  1067.5  707. 
  1261.5  702. 
  1451.   698.5
   871.5  712.5
   676.5  715.5
   481.   717.5
   279.5  720.5
  1047.   694. 
  1215.   688.5
  1387.5  685.5
   875.   698. 
   697.5  701. 
   525.5  701.5
   352.   701.5
