1627.5  919. 
  1053.5  937. 
   474.   938.5
  1439.   808. 
  1853.5  804. 
  1030.5  822.5
   610.   825. 
  1342.5  755.5
  1666.   748.5
  1017.   761.5
   691.5  763. 
   365.5  765.5
  1280.   717. 
  1538.5  712. 
  1803.   707.5
  1008.5  721. 
   746.   725. 
   485.   726.5
   225.   729. 
  1227.5  689.5
  1449.5  686. 
  1674.5  681. 
   997.5  694.5
   773.   697.5
   554.5  699. 
   337.   700. 
  1194.   670. 
  1386.5  666. 
  1581.   658.5
   999.   674.5
   803.   676.5
   609.5  679. 
   414.   678.5
  1166.   654. 
  1336.   652.5
  1510.5  648.5
   993.5  658.5
   818.   661. 
   648.5  662. 
   480.   661.5
