x,y,colour,time
3.12874865532,1.3978407383,blue,1665727466883843822
3.21136569977,-1.52635991573,yellow,1665727466883843822
6.81758594513,1.38316607475,blue,1665727466883843822
6.94530534744,-1.41954803467,yellow,1665727466883843822
9.27963447571,1.11619865894,blue,1665727466883843822
3.12443447113,1.39610779285,blue,1665727467681155138
3.20519852638,-1.52813827991,yellow,1665727467681155138
6.81324577332,1.37911844254,blue,1665727467681155138
6.96917057037,-1.42773365974,yellow,1665727467681155138
9.52361774445,-1.22032427788,yellow,1665727467681155138
9.27511405945,1.11060667038,blue,1665727467681155138
3.16848182678,1.39244186878,blue,1665727468133512276
3.27512693405,-1.53098058701,yellow,1665727468133512276
6.8572769165,1.40809452534,blue,1665727468133512276
7.03804016113,-1.39727330208,yellow,1665727468133512276
9.59053611755,-1.16726791859,yellow,1665727468133512276
9.32141113281,1.16137731075,blue,1665727468133512276
3.13096833229,1.39971446991,blue,1665727468880943377
9.54646778107,-1.1762727499,yellow,1665727468880943377
3.14624333382,1.41485035419,blue,1665727469474271687
6.98884057999,-1.40509164333,yellow,1665727469474271687
9.54274177551,-1.19104647636,yellow,1665727469474271687
3.12458109856,1.44283413887,blue,1665727469930772036
6.97617006302,-1.36471152306,yellow,1665727469930772036
9.52935314178,-1.14244961739,yellow,1665727469930772036
3.15789437294,1.34968757629,blue,1665727470683151663
6.93666172028,-1.55611407757,yellow,1665727470683151663
3.19942688942,1.31253111362,blue,1665727471129551673
6.89815998077,-1.69913542271,yellow,1665727471129551673
9.45743179321,-1.62548518181,yellow,1665727471129551673
3.13449239731,1.41980051994,blue,1665727471496920633
6.97173833847,-1.41397440434,yellow,1665727471496920633
9.52604579926,-1.21525347233,yellow,1665727471496920633
3.10948467255,1.48983895779,blue,1665727472288749312
7.02680683136,-1.27691686153,yellow,1665727472288749312
3.13372564316,1.43157982826,blue,1665727472929830755
3.23595190048,-1.49657309055,yellow,1665727472929830755
6.82258796692,1.42842900753,blue,1665727472929830755
6.98912572861,-1.37768530846,yellow,1665727472929830755
9.54277992249,-1.16070485115,yellow,1665727472929830755
9.28546333313,1.16916692257,blue,1665727472929830755
3.12336182594,1.44384002686,blue,1665727473529077124
3.21291446686,-1.4799131155,yellow,1665727473529077124
6.81220674515,1.43774020672,blue,1665727473529077124
6.97656726837,-1.36840748787,yellow,1665727473529077124
9.53037929535,-1.15347647667,yellow,1665727473529077124
9.2748708725,1.17651820183,blue,1665727473529077124
3.13996124268,1.41566812992,blue,1665727473934962490
3.23348283768,-1.51284492016,yellow,1665727473934962490
6.82880735397,1.40162980556,blue,1665727473934962490
6.98700284958,-1.40503191948,yellow,1665727473934962490
9.54129695892,-1.19558417797,yellow,1665727473934962490
9.29090690613,1.13509356976,blue,1665727473934962490
3.14865803719,1.42863023281,blue,1665727474676175933
3.24936103821,-1.49480712414,yellow,1665727474676175933
6.8375210762,1.43673861027,blue,1665727474676175933
7.01258277893,-1.36880385876,yellow,1665727474676175933
9.30117797852,1.18499958515,blue,1665727474676175933
3.13334202766,1.43133151531,blue,1665727475328041477
3.21240878105,-1.49276566505,yellow,1665727475328041477
6.82248830795,1.41488647461,blue,1665727475328041477
6.97646093369,-1.39457714558,yellow,1665727475328041477
9.53104400635,-1.18868100643,yellow,1665727475328041477
9.28389263153,1.1422393322,blue,1665727475328041477
3.11245656013,1.44723248482,blue,1665727475888226683
3.2285733223,-1.47509467602,yellow,1665727476057830277
6.79987573624,1.48011291027,blue,1665727476057830277
6.99099731445,-1.32711458206,yellow,1665727476057830277
9.54263305664,-1.08743596077,yellow,1665727476057830277
9.26412582397,1.2367246151,blue,1665727476057830277
3.10887956619,1.422295928,blue,1665727476673594497
3.20115065575,-1.50158643723,yellow,1665727476673594497
6.79774951935,1.41981256008,blue,1665727476683668472
6.9647192955,-1.38638234138,yellow,1665727476683668472
9.51834487915,-1.1689312458,yellow,1665727476683668472
9.26066970825,1.16098582745,blue,1665727476683668472
3.109375,1.41137886047,blue,1665727477264202638
3.20498251915,-1.51239478588,yellow,1665727477264202638
6.79855251312,1.41581785679,blue,1665727477264202638
6.96841621399,-1.39289331436,yellow,1665727477264202638
9.52179145813,-1.17252659798,yellow,1665727477264202638
9.26145744324,1.15709352493,blue,1665727477264202638
3.09963274002,1.38473963737,blue,1665727477739014843
3.18405294418,-1.53938126564,yellow,1665727477739014843
6.78848361969,1.37234902382,blue,1665727477739014843
6.94791793823,-1.4342854023,yellow,1665727477739014843
9.50211811066,-1.22369325161,yellow,1665727477739014843
9.25069999695,1.10690844059,blue,1665727477739014843
3.10098457336,1.4112149477,blue,1665727478329450422
3.18621349335,-1.51288414001,yellow,1665727478329450422
6.79015159607,1.40256690979,blue,1665727478329450422
6.95004463196,-1.40673363209,yellow,1665727478329450422
9.50418376923,-1.19542586803,yellow,1665727478329450422
9.25212097168,1.13510680199,blue,1665727478329450422
3.07827591896,1.41652953625,blue,1665727479077638575
3.17244720459,-1.51202178001,yellow,1665727479077638575
