x,y,z
0.638607344839,0.00677796741104,-0.047262174948,
0.638607344839,0.00677796741104,-0.047262174948,
0.636486525886,0.00952154464878,-0.0480100205244,
0.632495567996,0.0166352812721,-0.0497417773301,
0.639871333076,0.0168576334805,-0.0495125295718,
0.645145768157,0.0198182181134,-0.049895231497,
0.640660878483,0.0238694952829,-0.0508839557529,
0.648646467432,0.00563630891249,-0.0471026020282,
0.641792577043,0.00544296646012,-0.0490493465213,
0.650061563941,0.0114369601939,-0.0444347849244,
0.645470661087,0.0219123247946,-0.0466611852626,
0.654829767341,0.0122160207415,-0.0466156648163,
0.647764339036,0.0213711777447,-0.0487970406026,
0.63124009604,0.0204493668024,-0.0466504794931,
0.607631538212,0.0107301718636,-0.0468513890716,
0.594034222051,0.0166462172722,-0.0489990651343,
0.65406504067,0.0186022934707,-0.0442277658974,
0.634991267081,0.0282359385356,-0.0475463676035,
0.643118677139,0.0339434255044,-0.0435609565143,
0.653425729451,0.058327395765,-0.0406334942393,
0.647829035435,0.0848881656764,-0.0425629458972,
0.644760638185,0.0161257950158,-0.043342369501,
0.619871527097,0.0430064377662,-0.0472003835495,
0.645759807085,0.0264276415774,-0.0447367544212,
0.623248934216,0.0241904908024,-0.0492150064791,
0.640754601386,0.0115065777704,-0.0445815922228,
0.63250713585,0.0255037624823,-0.0470959644671,
0.651045711407,0.0151877766807,-0.0414894869088,
0.661617314658,0.0279987465214,-0.0414775194441,
0.667243905186,0.0330121848919,-0.041036318923,
0.675936720821,0.00377707477487,-0.0375519072757,
0.692387722795,-0.00680879160966,-0.0371114958817,
0.658457255202,0.00901984864042,-0.04079915093,
0.670077732674,0.0212484348607,-0.0410821769177,
0.660987312975,0.0156314631948,-0.0399166316308,
0.660257829442,0.0206841076278,-0.0404801118076,
0.681176966957,0.022693912068,-0.0401462587615,
0.694995591304,0.0130955987017,-0.0368472119922,
0.724952110122,0.0360913478548,-0.0357886566483,
0.680377335718,0.0344221566382,-0.0391345604187,
0.677808778122,0.046395397474,-0.0413592043189,
0.663115318919,0.0432983494111,-0.0426327978523,
0.670890718611,0.0719086407239,-0.0440346826362,
0.665292179191,0.0224529882172,-0.0367080263529,
0.673600506882,0.0484841723749,-0.0393044725211,
0.681997782494,0.00457049919184,-0.0391910351901,
0.692664692468,0.0073873627976,-0.0408167555563,
0.679145382763,0.00904324345421,-0.0398437341394,
0.649007805695,0.0240325922032,-0.0379541516227,
0.633768152359,0.0543407315498,-0.0418287958778,
0.645862960258,0.00937491105387,-0.0398441856748,
0.633447954283,0.0148120238264,-0.0434516094659,
0.617086429077,0.0159466618934,-0.0444655487088,
0.587489538504,0.0190707616788,-0.0448525517524,
0.618001491806,0.0167738780199,-0.0430945021998,
0.455812836486,0.0253169176907,-0.0444644173845,
0.400646163502,0.0260782101367,-0.0502040879724,
0.289687384567,0.0224775624878,-0.0525467191071,
0.201595894542,0.00780062065107,-0.0521906924973,
0.137385107596,0.0167656220488,-0.0541838792674,
0.000792454034968,0.0549248989524,-0.0611520265533,
-0.104142405916,0.0375877349565,-0.0512843631655,
-0.192255854099,0.0582295676342,-0.0580011208944,
-0.323354762329,0.0394074572768,-0.0488200056116,
-0.403536748552,0.0467636847806,-0.0574894449696,
-0.487326900362,0.0461803691855,-0.0531451885532,
-0.556668093446,0.0438607983622,-0.0614346183121,
-0.662146804869,0.0379093802245,-0.0551007290034,
-0.705726359499,0.0465874482326,-0.0580367248478,
-0.803711450006,0.0454401053212,-0.0535537604009,
-0.890177689205,0.0477952986509,-0.0545121010911,
-0.944496281153,0.0603871978966,-0.0592743714288,
