x,y,z,v_x,v_y,v_z,yaw,v_yaw,time
-0.646234824293,-0.0270349122577,0.0454623389233,0.0365230839477,-0.0598428088114,0.00418623880073,-0.000207460781066,0.000792565848132,1665724092761579868
-0.647272664628,-0.0332752730632,0.0469540047386,-0.0291861262445,-0.0241482779506,0.000798330579378,0.000407172613565,0.00385290375544,1665724092957525857
-0.651979519274,-0.0402489617299,0.047545545658,-0.0181694634221,-0.00840312999469,0.00884307996447,0.00151914672152,0.000887573819982,1665724093160858884
-0.651051255507,-0.0356389227979,0.0511715917219,0.0426852801319,0.011872894834,0.0183855766953,0.000836551694529,0.00242519993541,1665724093538927592
-0.628830870556,-0.0572990578998,0.0588058839423,0.00495531785003,0.000273729567951,-0.0027560622086,0.00605398105639,-0.00587154016588,1665724093755657265
-0.637998690313,-0.0418544804664,0.0541585054084,-0.0144302315261,0.0317670828093,-0.00773169134196,0.00184037918721,-0.0123291449996,1665724093755657265
-0.638050514447,-0.0592689771593,0.0570482493804,-0.0131780805809,-0.110194063466,0.00887072748627,0.0030509504994,0.00987845880338,1665724094117544470
-0.652419911897,-0.0504192874037,0.0522287499138,-0.0164999234669,0.0107050057857,-0.00703395646089,0.0017812762338,0.00114376175614,1665724094319911048
-0.638497588159,-0.0672464406304,0.0550110616091,0.0583764300283,-0.0912365600919,0.0089356048355,0.00451629366138,0.0117997237189,1665724094511290183
-0.628214523209,-0.0994957498541,0.059183972909,-0.0145552359836,0.0635237008512,-0.00835587177608,0.00694167762577,-0.00987234546704,1665724094732010041
-0.642993284529,-0.0524731690309,0.0520068381972,0.00396399045132,-0.0678600036507,0.00613815037311,0.00217623236365,0.00713378978251,1665724094945916323
-0.637758565999,-0.083719774333,0.0568969137414,-0.00324312528229,0.0113050913321,0.00224475490876,0.00525658989268,-0.00377295508855,1665724095199528781
-0.647707087789,-0.0537540416325,0.0532997187868,0.00390285763092,0.0515786421741,-0.00148946109956,0.00016976187246,-0.00968008570082,1665724095391199949
-0.625289619389,-0.071272929868,0.0564677877044,0.108016089902,-0.0769558069003,0.0112174655828,0.00300668793358,0.0135012838442,1665724095557756976
-0.617940344176,-0.0737951952712,0.0569729101365,-0.0546497141854,0.0682537486159,-0.009584761447,0.00394886604639,-0.00327306268152,1665724095785388369
-0.631773003036,-0.0690130474829,0.0539550740981,0.0762992316595,-0.0933576051831,0.00728346692395,0.00361967619459,0.00810433263576,1665724096129977141
-0.633358689543,-0.0493150963959,0.0517006240846,-0.0390305794905,0.0786859580317,-0.0107251501815,0.00122140998885,-0.0126707793642,1665724096310131085
-0.634442003655,-0.058102976605,0.0507673763709,-0.025484776704,-0.00382309819207,-0.00839945669153,0.000351817899491,-0.00516842436327,1665724096540386522
-0.630701337328,-0.058158018004,0.0508299012363,0.0137620883393,0.0112928758905,0.00501458603693,0.00120101260696,0.00723999565874,1665724096916144865
-0.605468490858,-0.0795838721599,0.0579560692367,0.110571660646,-0.116080071935,0.0220551671233,0.00549812107213,0.0156098947655,1665724097133130494
-0.630327026707,-0.0580067873757,0.0516141881303,-0.127898152592,0.0388182038468,-0.022413220636,0.00255232305372,-0.0147976328151,1665724097340904922
-0.637600177122,-0.0841393420852,0.0517905239047,0.0347964520918,-0.201914596788,0.0106998782977,0.00253239430756,0.00972227839547,1665724097552533004
-0.630918101297,-0.100295638168,0.0547953764005,-0.0336743156687,0.304362101438,0.00768723757637,0.00354039439264,-0.00222679952818,1665724097754891945
-0.647927333372,0.00856199429956,0.054635130851,-0.0210114335625,0.183962810867,3.77696890254e-05,0.00350213841413,0.0106421270057,1665724097957168022
-0.644867834057,0.00767480386726,0.0562766333849,0.00206893358016,-0.146531384069,-0.00604732454596,0.00401867902926,-0.0121772965825,1665724098138229696
-0.648292686516,-0.0358537938691,0.0518558640347,-0.0084082570875,-0.157063569397,-0.00669644990896,-0.000595507752056,-0.0143103037071,1665724098513266942
-0.634046474022,-0.0664023933905,0.0576656031396,0.0255455938656,0.0257399673739,0.00109557700266,0.002393061136,0.00470893755069,1665724098717051575
-0.637256626855,-0.0453644660659,0.0542060332664,-0.00326822761639,0.0419821859759,-0.00290682413534,0.00030449780822,-0.0103764197216,1665724098908360739
-0.639925467201,-0.0468129247759,0.0553487901333,-0.0356125143479,0.0397306874706,-0.00737447204323,-0.00233344885733,-0.0103733802249,1665724099181559138
-0.647432031831,-0.0293692156287,0.0496960507889,-0.00464641698246,0.0463577458416,-0.0114403156232,-0.00218309583154,0.00405580300424,1665724099353588610
-0.64680081142,-0.0228371774641,0.0502402245646,0.0405519351,0.0542062909952,0.00242980379622,-0.00334246294988,-0.00178261579294,1665724099727136050
-0.650792600709,-0.0121509189451,0.0522768465588,-0.0610280686966,0.0013182839639,0.00544164729419,-0.000235044669917,0.0115653545598,1665724099909326966
-0.64815345719,-0.0136243285038,0.0515074723866,-0.00994186245696,-0.0207942831052,0.00218017842503,0.000282200411981,0.00630355285556,1665724099949572921
-0.646379908704,-0.0132569051371,0.0515141443504,-0.00994126914588,-0.020804538523,0.00217481437056,0.000213602294002,0.0063041036222,1665724099949572921
-0.642263258677,-0.0178926477535,0.0501927175305,0.0149916302644,-0.0291413966898,-0.00628385586943,-0.0011448064423,-0.00933992885321,1665724100353327097
-0.635171876089,-0.0177597466808,0.0492768479178,0.027686067595,0.00977266585258,-0.00204413464676,-0.00319621482874,-0.00595402747581,1665724100552143793
-0.633011982017,-0.0168670344566,0.0489551903005,-0.0409454830712,-0.0233531140793,-0.0022093558356,-0.00369640879456,0.00856928424373,1665724100919810519
