x,y,z,v_x,v_y,v_z,yaw,v_yaw,time
-0.671944049916,-0.0382421553966,0.0443810988257,-0.0574322521122,-0.0960707692963,-0.00249970100961,-0.00144168231558,-0.00840550709096,1665728026831758725
-0.683201535978,-0.0517967402668,0.0448044418215,-0.0614853882168,-0.0760719529577,-8.312024343e-05,-0.00295895705661,-0.00789132231195,1665728027005409972
-0.690450087777,-0.0594755609355,0.0462109237946,-0.0355537860058,-0.0434368638732,0.00430052154039,-0.00425876150295,-0.00808918652093,1665728027191477509
-0.681807897325,-0.0473200437308,0.0450266287583,0.0499484511602,0.0711884361583,-0.00473366202892,-0.00348324197792,0.00400424320762,1665728027397089447
-0.676226680546,-0.0399717117607,0.0453944262036,0.00797110285324,0.0212875963372,0.00425375490852,-0.0035909980884,-0.00484636169653,1665728027626696529
-0.673522470971,-0.0382187776268,0.0484015682466,0.0274691435816,0.0120631992836,0.00585084724937,-0.00456820327998,0.007428298029,1665728027815796915
-0.66513338593,-0.0387400688451,0.0476983343935,0.0451774260403,0.00184694910493,0.0065283856277,-0.00138746151751,0.0111905590098,1665728027968882819
-0.659054853232,-0.0402363790362,0.050058435256,0.0281329885514,-0.000315851991764,0.00941268282048,-0.00117895980331,-0.00289161830471,1665728028153248663
-0.667175089862,-0.0370210050383,0.0487119964143,-0.0898083008753,0.0152270540513,-0.0168283817086,-0.00236304829106,-0.00623241437358,1665728028377052497
-0.688941780365,-0.0343074459669,0.0447506457076,-0.0505081948835,0.00545013636789,0.00147980451803,-0.00360538364187,-0.00697053783602,1665728028554928523
-0.696956289967,-0.0321681490467,0.0463967395216,0.0233384486393,-0.000662568949065,0.0209260596719,-0.00476126901844,0.00358197543091,1665728028707117481
-0.683454797822,-0.0349525469059,0.0511079621903,0.0255981037685,-0.000928766496566,0.0214723396322,-0.00272701971388,0.00390946278651,1665728028707117481
-0.684009050321,-0.03598349887,0.0527924735333,0.0456431555278,-0.0153400468847,0.0256587134158,-0.00304176848397,0.00542304509697,1665728029030090992
